id,name,artist,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
06HodC0mwgsFZ8RbhcBQt4,"Mass in C Minor, K. 427: IX. Cum Sancto Spiritu (Choir)","Wolfgang Amadeus Mozart",0,classical,0.334000,0.472000,0,-15.235000,1,0.039800,0.968000,0.475000,0.099900,0.207000,111.539000,211187,4
69RoAhDqFOiQb2pQvb24Ii,"Requiem: Lacrimosa","Wolfgang Amadeus Mozart",67,classical,0.162000,0.102000,2,-23.315000,0,0.036000,0.932000,0.900000,0.170000,0.044500,131.626000,169667,3
17i5jLpzndlQhbS4SrTd0B,"Unaccompanied Cello Suite No. 1 in G Major, BWV 1007: Prélude","Johann Sebastian Bach",70,classical,0.275000,0.157000,7,-18.752000,1,0.063600,0.890000,0.842000,0.186000,0.304000,73.289000,152280,4
0IUR8bWbdp3MpvERMvqy7p,"Ave Maria","Charles Gounod",28,classical,0.146000,0.240000,2,-17.032000,1,0.045700,0.991000,0.002670,0.091600,0.113000,198.224000,198992,1
3DNRdudZ2SstnDCVKFdXxG,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven",68,classical,0.184000,0.005270,1,-37.264000,0,0.043200,0.995000,0.887000,0.173000,0.151000,170.612000,315427,3
2kyEgPaAW8wdpvevPnkf0Z,"Ave Maria","Johann Sebastian Bach",65,classical,0.132000,0.019500,0,-29.760000,1,0.044500,0.993000,0.888000,0.056900,0.140000,81.616000,163267,3
4jep6dMPP0z7HrN375InoL,"Première Gymnopédie","Erik Satie",65,classical,0.593000,0.005430,7,-35.422000,1,0.069900,0.995000,0.952000,0.081400,0.314000,76.488000,204267,3
7n92QzQomRCLlciO14X0kd,"Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1","Frédéric Chopin",64,classical,0.387000,0.045100,3,-24.698000,1,0.036400,0.990000,0.913000,0.112000,0.071000,61.494000,268427,4
44XQSVacou4SsydeVsCsvA,"Flute Sonata in E Major, BWV 1035: I. Adagio","Johann Sebastian Bach",48,classical,0.244000,0.064100,3,-22.045000,1,0.038700,0.946000,0.000012,0.108000,0.301000,74.216000,148827,3
6C8h2JKHCh9Aen0DkSSLU8,"Cello Suite No. 5 in C Minor, BWV 1011 (Arr. T. Hoppstock for Guitar): II. Allemande","Johann Sebastian Bach",46,classical,0.330000,0.035800,5,-28.596000,0,0.049000,0.993000,0.953000,0.106000,0.214000,110.671000,173373,4
79RUMZfMNMpqZnswovvTqv,Wonderwall,Oasis,75,rock,0.412000,0.844000,2,-5.613000,1,0.037000,0.002140,0,0.134000,0.459000,174.452000,258907,4
08mG3Y1vljYA6bvDt4Wqkj,"Back In Black",AC/DC,84,rock,0.310000,0.700000,9,-5.678000,1,0.047000,0.011000,0.009650,0.082800,0.763000,188.386000,255493,4
0d28khcov6AiegSCpG5TuT,"Feel Good Inc",Gorillaz,82,rock,0.818000,0.705000,6,-6.679000,1,0.177000,0.008360,0.002330,0.613000,0.772000,138.559000,222640,4
1TfqLAPs4K3s2rJMoCokcS,"Sweet Dreams (Are Made of This) - Remastered",Eurythmics,84,rock,0.692000,0.711000,0,-7.498000,0,0.031700,0.227000,0,0.120000,0.875000,125.135000,216933,4
75JFxkI2RXiU7L9VXzMkle,"The Scientist",Coldplay,86,rock,0.560000,0.442000,5,-7.224000,1,0.024300,0.727000,0.000017,0.110000,0.212000,146.448000,309600,4
1AhDOtG9vPSOmsWgNW0BEY,"Bohemian Rhapsody - Remastered 2011",Queen,81,rock,0.414000,0.404000,0,-9.928000,0,0.049900,0.271000,0,0.300000,0.224000,71.105000,354320,4
2zYzyRzz6pRmhPzyfMEC8s,"Highway to Hell",AC/DC,83,rock,0.573000,0.913000,6,-4.793000,0,0.132000,0.059100,0.001730,0.156000,0.422000,115.715000,208400,4
5T8EDUDqKcs6OSOwEsfqG7,"Don't Stop Me Now - Remastered",Queen,80,rock,0.559000,0.868000,5,-5.276000,1,0.170000,0.047500,0.000176,0.776000,0.609000,156.295000,209413,4
48UPSzbZjgc449aqz8bxox,Californication,"Red Hot Chili Peppers",82,rock,0.592000,0.767000,9,-2.788000,0,0.027000,0.002100,0.001650,0.127000,0.328000,96.483000,329733,4
6b2oQwSGFkzsMtQruIWm2p,Creep,Radiohead,81,rock,0.515000,0.430000,7,-9.935000,1,0.036900,0.010200,0.000141,0.129000,0.104000,91.841000,238640,4
