id,name,artist,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
69RoAhDqFOiQb2pQvb24Ii,"Requiem: Lacrimosa","Wolfgang Amadeus Mozart",67,classical,0.162000,0.102000,2,-23.315000,0,0.036000,0.932000,0.900000,0.170000,0.044500,131.626000,169667,3
3MYs9TvBiJomdcWnpmchZ2,"Così fan tutte, K. 588, Act I: Non son cattivo comico! (Live)","Wolfgang Amadeus Mozart",0,classical,0.474000,0.379000,0,-17.184000,1,0.358000,0.889000,0,0.320000,0.289000,109.635000,47909,4
7bVuIrVVZCWP5lsPk0lOUM,"Così fan tutte, K. 588, Act II: Cos' è tal mascherata? (Live)","Wolfgang Amadeus Mozart",0,classical,0.606000,0.245000,10,-22.920000,1,0.571000,0.938000,0,0.645000,0.399000,82.869000,48693,4
7jj0XlZgocbtbEKzLkjSEz,"Così fan tutte, K. 588, Act II: Ah poveretto me - Vittoria, padroncini! (Live)","Wolfgang Amadeus Mozart",0,classical,0.542000,0.360000,0,-18.925000,1,0.601000,0.944000,0,0.893000,0.252000,89.572000,123351,4
5KJAnj9IHy0memosusaOZY,"Così fan tutte, K. 588, Act II: Fate presto, o cari amici (Live)","Wolfgang Amadeus Mozart",0,classical,0.540000,0.482000,0,-13.754000,1,0.065100,0.900000,0.000013,0.630000,0.581000,108.342000,109653,3
17i5jLpzndlQhbS4SrTd0B,"Unaccompanied Cello Suite No. 1 in G Major, BWV 1007: Prélude","Johann Sebastian Bach",71,classical,0.275000,0.157000,7,-18.752000,1,0.063600,0.890000,0.842000,0.186000,0.304000,73.289000,152280,4
3DNRdudZ2SstnDCVKFdXxG,"Sonata No. 14 ""Moonlight"" in C-Sharp Minor"", Op. 27 No. 2: I. Adagio sostenuto","Ludwig van Beethoven",69,classical,0.184000,0.005270,1,-37.264000,0,0.043200,0.995000,0.887000,0.173000,0.151000,170.612000,315427,3
4jep6dMPP0z7HrN375InoL,"Première Gymnopédie","Erik Satie",65,classical,0.593000,0.005430,7,-35.422000,1,0.069900,0.995000,0.952000,0.081400,0.314000,76.488000,204267,3
2hqjVpdpzfpWGU2oIXHsIn,"Goldberg Variations, BWV 988: Aria da capo","Johann Sebastian Bach",24,classical,0.059000,0.000784,7,-44.393000,1,0.049000,0.986000,0.962000,0.092400,0.039900,62.191000,297573,3
7n92QzQomRCLlciO14X0kd,"Nocturne en mi bémol majeur opus 9 n°2: Ballade en Sol Mineur No.1","Frédéric Chopin",65,classical,0.387000,0.045100,3,-24.698000,1,0.036400,0.990000,0.913000,0.112000,0.071000,61.494000,268427,4
6q5co1XdRmnMeWlL1RWXPK,"Gnossienne No.1 (Arr. Kleynjans)","Erik Satie",64,classical,0.354000,0.012500,4,-27.577000,0,0.044300,0.995000,0.959000,0.079300,0.069100,98.207000,220560,4
2YarjDYjBJuH63dUIh9OWv,"Piano Concerto No. 21 in C Major, K. 467 ""Elvira Madigan"": II. Andante","Wolfgang Amadeus Mozart",65,classical,0.194000,0.032400,5,-28.215000,1,0.038200,0.982000,0.961000,0.091600,0.059600,144.130000,433800,4
1wNGEz4CNTuxlrH9bx2X5g,"Così fan tutte, K. 588, Act I: La mia Dorabella (Live)","Wolfgang Amadeus Mozart",0,classical,0.432000,0.460000,7,-13.885000,1,0.064400,0.951000,0.000030,0.733000,0.642000,127.137000,111023,4
2kyEgPaAW8wdpvevPnkf0Z,"Ave Maria","Johann Sebastian Bach",65,classical,0.132000,0.019500,0,-29.760000,1,0.044500,0.993000,0.888000,0.056900,0.140000,81.616000,163267,3
2T2ih9SIp76PqA9n7LUCoX,"12 Études, Op. 8: No. 4 in B Major","Alexander Scriabin",34,classical,0.240000,0.031800,11,-29.071000,1,0.049800,0.996000,0.928000,0.110000,0.189000,64.647000,116106,4
